2025-05-08 15:06:34,593 | DEBUG | proactor_events.py:634 | __init__ | Using proactor: IocpProactor
2025-05-08 15:06:34,602 | INFO | pdf_queue_worker.py:31 | ensure_group | Consumer group created
2025-05-08 15:06:34,603 | INFO | pdf_queue_worker.py:142 | main | Running with multiple consumers
2025-05-08 15:06:42,571 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:06:42,571 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[54:73]
2025-05-08 15:06:42,572 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[75:99]
2025-05-08 15:06:42,572 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:06:42,572 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:06:42,572 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[103:107]
2025-05-08 15:06:42,572 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:06:42,573 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:06:42,573 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[163:182]
2025-05-08 15:06:42,573 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[184:212]
2025-05-08 15:06:42,573 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:06:42,573 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:06:42,574 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[216:237]
2025-05-08 15:06:42,574 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:06:42,574 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:06:42,574 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[293:312]
2025-05-08 15:06:42,574 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[314:357]
2025-05-08 15:06:42,575 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:06:42,575 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[359:371]
2025-05-08 15:06:42,575 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[373:388]
2025-05-08 15:06:42,575 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:06:42,575 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:06:42,576 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[0:69680]
2025-05-08 15:06:42,576 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:06:42,576 | DEBUG | multipart.py:628 | callback | Calling on_end with no data
2025-05-08 15:06:42,583 | INFO | main.py:72 | upload_pdf | Extracted 1 files from 1mb.zip, Batch ID: 
2025-05-08 15:06:42,587 | INFO | pdf_queue_worker.py:82 | consume_new_messages | Response: {'message': {'extracted_dir': ['C:\\Users\\Sourabh Kumar Das\\Desktop\\Talent_sync_eda\\backend\\zip_dir\\1mb'], 'batch_id': 'f3e6f0a7-5a9e-44e8-b6f4-2f853d6c4b66', 'user_id': '681c7b2a154310a9f43de396', 'company_id': '681c7b2a154310a9f43de397'}}
2025-05-08 15:06:42,590 | INFO | pdf_queue_worker.py:42 | process_message | Processing message 1746697002471-0 -> {'message': {'extracted_dir': ['C:\\Users\\Sourabh Kumar Das\\Desktop\\Talent_sync_eda\\backend\\zip_dir\\1mb'], 'batch_id': 'f3e6f0a7-5a9e-44e8-b6f4-2f853d6c4b66', 'user_id': '681c7b2a154310a9f43de396', 'company_id': '681c7b2a154310a9f43de397'}}
2025-05-08 15:06:42,590 | INFO | pdf_queue_worker.py:45 | process_message | Processing extracted directory: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:06:42,590 | INFO | utils.py:121 | process_zip_extracted_files | Starting to process files from extracted directory: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:06:42,591 | INFO | utils.py:124 | process_zip_extracted_files | Found 1 CV files to process
2025-05-08 15:06:42,591 | INFO | utils.py:126 | process_zip_extracted_files | files ['1mb.pdf']
2025-05-08 15:06:42,591 | INFO | utils.py:130 | process_zip_extracted_files | Split files into 1 non-overlapping chunks
2025-05-08 15:06:42,591 | INFO | utils.py:191 | _process_file_chunks | Processing chunk of 1 files from C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:06:42,592 | INFO | utils.py:306 | _process_files | Starting to process PDF file: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb\1mb.pdf
2025-05-08 15:06:44,354 | DEBUG | pdf_parser.py:112 | extract_text | txt_temp type: <class 'tempfile._TemporaryFileWrapper'> - txt_temp.name: C:\Users\SOURAB~1\AppData\Local\Temp\tmp3ye9os_s.txt
2025-05-08 15:06:44,362 | INFO | utils.py:325 | _process_files | text extracted ... for  C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb\1mb.pdf
2025-05-08 15:06:46,387 | INFO | utils.py:347 | _process_files | Successfully parsed PDF file: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb\1mb.pdf
2025-05-08 15:06:46,387 | INFO | utils.py:229 | _process_file_chunks | Processed chunk: 0 successful, 0 failed
2025-05-08 15:06:48,400 | INFO | utils.py:156 | process_zip_extracted_files | Completed processing all chunks
2025-05-08 15:06:48,400 | INFO | utils.py:160 | process_zip_extracted_files | Starting processing for batch f3e6f0a7-5a9e-44e8-b6f4-2f853d6c4b66
2025-05-08 15:06:50,413 | INFO | utils.py:162 | process_zip_extracted_files | Successfully processed batch f3e6f0a7-5a9e-44e8-b6f4-2f853d6c4b66
2025-05-08 15:06:52,435 | INFO | utils.py:170 | process_zip_extracted_files | Successfully cleaned up directory: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:06:52,438 | INFO | utils.py:28 | delete_from_stream | Deleted message 1746697002471-0 from stream 'process_pdfs'
2025-05-08 15:06:52,438 | INFO | utils.py:173 | process_zip_extracted_files | Successfully cleaned up directory: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:06:52,438 | INFO | pdf_queue_worker.py:62 | process_message | Done processing 1746697002471-0
2025-05-08 15:07:51,087 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:07:51,088 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[54:73]
2025-05-08 15:07:51,088 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[75:99]
2025-05-08 15:07:51,088 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:07:51,088 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:07:51,089 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[103:107]
2025-05-08 15:07:51,089 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:07:51,089 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:07:51,089 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[163:182]
2025-05-08 15:07:51,089 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[184:212]
2025-05-08 15:07:51,090 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:07:51,090 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:07:51,090 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[216:237]
2025-05-08 15:07:51,090 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:07:51,090 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:07:51,091 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[293:312]
2025-05-08 15:07:51,091 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[314:357]
2025-05-08 15:07:51,091 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:07:51,091 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[359:371]
